fan_id,age_group,household_type,distance_from_arena_bucket,preferred_ticket_segment,loyalty_status,games_attended_last_12_months,avg_ticket_spend,avg_concession_spend,avg_merchandise_spend,promotion_usage_rate,email_engagement_score,fan_value_score
18,35-44,Empty Nester,60+ miles,Club Level,Casual Fan,6,66.74,8.63,9.57,0.6551,0.9108,0.2362
19,18-24,Family with Kids,30-60 miles,Corporate Partner Allocation,Repeat Buyer,10,138.86,24.86,26.5,0.687,0.279,0.3329
20,25-34,Family with Kids,15-30 miles,Premium Courtside,Repeat Buyer,12,95.65,35.15,69.85,0.2548,0.7285,0.4912
21,35-44,Student,5-15 miles,Upper Bowl,Season Ticket Holder,41,260.34,30.76,76.28,0.3057,0.6952,0.7523
22,25-34,Family with Kids,60+ miles,Premium Courtside,Casual Fan,8,69.31,26.32,47.2,0.18,0.3473,0.3449
23,35-44,Empty Nester,15-30 miles,Premium Courtside,Casual Fan,5,106.8,38.36,11.82,0.5597,0.4205,0.3216
24,65+,Single,5-15 miles,Premium Courtside,Casual Fan,7,116.71,25.03,33.24,0.2907,0.5337,0.3595
25,18-24,Couple,30-60 miles,Lower Bowl,Casual Fan,8,105.85,30.44,58.92,0.3503,0.8944,0.4552
26,25-34,Couple,<5 miles,Corporate Partner Allocation,Premium Member,31,343.81,27.98,50.36,0.4777,0.3703,0.6695
27,25-34,Couple,15-30 miles,Group Sales,Repeat Buyer,9,134.72,17.85,55.58,0.3027,0.2378,0.371
28,65+,Empty Nester,15-30 miles,Lower Bowl,Casual Fan,5,112.84,41.28,47.22,0.3405,0.3921,0.4105
29,18-24,Empty Nester,60+ miles,Family Pack,Casual Fan,6,60.82,37.72,48.99,0.16,0.4338,0.3795
30,35-44,Empty Nester,15-30 miles,Lower Bowl,New Fan,3,71.58,17.88,53.35,0.6575,0.3779,0.2849
31,25-34,Student,15-30 miles,Upper Bowl,New Fan,4,68.22,11.01,79.83,0.1022,0.7574,0.3796
32,55-64,Family with Kids,5-15 miles,Lower Bowl,New Fan,3,64.94,32.75,10.53,0.2935,0.8778,0.3172
33,25-34,Empty Nester,<5 miles,Group Sales,Repeat Buyer,12,78.98,34.18,38.7,0.2122,0.3949,0.3853
34,18-24,Couple,5-15 miles,Season Ticket,Season Ticket Holder,35,190.01,19.43,58.69,0.0685,0.2817,0.5681
35,45-54,Student,30-60 miles,Corporate Partner Allocation,Casual Fan,4,70.57,22.67,55.8,0.6807,0.3436,0.3049
36,25-34,Student,60+ miles,Upper Bowl,Season Ticket Holder,40,177.43,12.01,75.58,0.2197,0.2293,0.5768
37,65+,Single,<5 miles,Upper Bowl,Season Ticket Holder,38,195.35,29.79,36.2,0.1347,0.1035,0.5581
38,45-54,Family with Kids,15-30 miles,Club Level,Repeat Buyer,15,163.83,35.27,76.54,0.2822,0.2757,0.5251
39,18-24,Family with Kids,15-30 miles,Corporate Partner Allocation,Repeat Buyer,11,122.75,26.42,42.99,0.209,0.4327,0.4006
40,45-54,Student,5-15 miles,Upper Bowl,Corporate Guest,5,232.01,35.12,20.24,0.1998,0.7118,0.4711
41,45-54,Single,15-30 miles,Family Pack,Casual Fan,4,105.97,8.28,73.42,0.177,0.4318,0.3515
42,25-34,Single,60+ miles,Family Pack,Casual Fan,8,104.12,17.88,29.41,0.4683,0.6413,0.3255
43,18-24,Corporate,60+ miles,Corporate Partner Allocation,New Fan,1,83.27,39.67,9.65,0.1815,0.5163,0.3125
44,35-44,Student,<5 miles,Club Level,Casual Fan,8,76.38,42.76,23.67,0.3589,0.2702,0.3444
45,18-24,Corporate,15-30 miles,Premium Courtside,New Fan,4,88.32,30.95,34.74,0.0611,0.6269,0.3661
46,18-24,Empty Nester,<5 miles,Club Level,Repeat Buyer,15,85.38,31.07,44.51,0.1225,0.5736,0.4278
47,35-44,Family with Kids,15-30 miles,Lower Bowl,Season Ticket Holder,40,214.64,23.75,48.81,0.4848,0.164,0.5749
48,25-34,Corporate,15-30 miles,Student Promo,New Fan,4,81.85,16.35,67.87,0.2844,0.3967,0.3404
49,18-24,Empty Nester,15-30 miles,Upper Bowl,Repeat Buyer,8,175.69,22.84,51.99,0.3963,0.2101,0.4005
50,45-54,Single,5-15 miles,Group Sales,Season Ticket Holder,37,221.09,21.59,43.94,0.3618,0.2331,0.562
51,45-54,Empty Nester,5-15 miles,Season Ticket,Season Ticket Holder,35,241.85,23.83,55.73,0.2283,0.5254,0.6339
52,35-44,Couple,30-60 miles,Club Level,Casual Fan,7,73.24,9.22,34.73,0.3701,0.636,0.2821
53,35-44,Empty Nester,<5 miles,Season Ticket,Repeat Buyer,14,90.14,14.24,6.14,0.3208,0.3682,0.2682
54,18-24,Empty Nester,30-60 miles,Lower Bowl,Casual Fan,8,84.83,9.44,16.15,0.782,0.7677,0.2544
55,25-34,Empty Nester,15-30 miles,Upper Bowl,Repeat Buyer,11,141.97,19.59,33.69,0.3264,0.768,0.403
56,45-54,Couple,5-15 miles,Group Sales,Casual Fan,3,81.78,21.36,9.19,0.1656,0.8331,0.2917
57,25-34,Student,30-60 miles,Corporate Partner Allocation,Season Ticket Holder,35,164.62,22.43,8.09,0.1532,0.4269,0.4737
58,18-24,Empty Nester,60+ miles,Upper Bowl,Casual Fan,5,79.07,43.62,23.35,0.2213,0.5291,0.3669
59,18-24,Family with Kids,15-30 miles,Lower Bowl,Repeat Buyer,11,127.14,23.47,21.9,0.2764,0.3737,0.3454
60,45-54,Couple,5-15 miles,Upper Bowl,Repeat Buyer,14,83.39,19.04,16.59,0.2278,0.6086,0.3272
61,25-34,Empty Nester,30-60 miles,Student Promo,Season Ticket Holder,40,169.06,21.96,26.2,0.6116,0.5964,0.528
62,45-54,Family with Kids,60+ miles,Family Pack,Premium Member,35,302.45,16.45,74.91,0.2239,0.3682,0.6769
63,65+,Corporate,15-30 miles,Premium Courtside,New Fan,1,64.92,43.77,12.85,0.1627,0.4011,0.3073
64,25-34,Corporate,<5 miles,Premium Courtside,Repeat Buyer,9,80.32,16.74,42.97,0.4447,0.3436,0.3049
65,25-34,Empty Nester,30-60 miles,Corporate Partner Allocation,Repeat Buyer,8,123.51,8.22,50.85,0.216,0.538,0.3508
66,45-54,Couple,<5 miles,Club Level,Casual Fan,4,67.61,33.56,54.52,0.3028,0.4887,0.3699
67,45-54,Family with Kids,5-15 miles,Student Promo,Season Ticket Holder,39,238.2,34.48,36.91,0.2278,0.3846,0.6367
68,55-64,Corporate,<5 miles,Premium Courtside,Season Ticket Holder,40,211.02,15.89,13.43,0.1455,0.3416,0.5143
69,25-34,Single,60+ miles,Club Level,Corporate Guest,6,263.68,37.44,11.56,0.5706,0.7248,0.4748
70,35-44,Corporate,30-60 miles,Group Sales,Repeat Buyer,5,122.47,43.66,72.25,0.1728,0.2643,0.4684
71,18-24,Empty Nester,15-30 miles,Family Pack,Corporate Guest,4,209.05,15.29,71.37,0.2848,0.4777,0.4504
72,35-44,Couple,<5 miles,Corporate Partner Allocation,Premium Member,35,201.66,11.67,67.63,0.2536,0.2207,0.5527
73,25-34,Family with Kids,5-15 miles,Premium Courtside,Casual Fan,4,100.29,41.02,51.26,0.5038,0.3832,0.3935
74,35-44,Couple,5-15 miles,Premium Courtside,Corporate Guest,9,246.52,13.2,46.32,0.5109,0.4354,0.4345
75,18-24,Couple,30-60 miles,Upper Bowl,Casual Fan,4,69.07,9.49,13.56,0.5814,0.6013,0.2113
76,55-64,Corporate,15-30 miles,Upper Bowl,Premium Member,32,329.95,12.85,15.35,0.3358,0.2308,0.5406
77,18-24,Family with Kids,<5 miles,Upper Bowl,Casual Fan,7,91.2,32.95,59.14,0.2074,0.3201,0.3974
78,35-44,Family with Kids,<5 miles,Premium Courtside,Repeat Buyer,11,90.8,36.33,60.67,0.354,0.3495,0.4264
79,18-24,Empty Nester,60+ miles,Club Level,Casual Fan,7,73.85,34.98,55.04,0.3533,0.3305,0.3768
80,25-34,Corporate,15-30 miles,Student Promo,Corporate Guest,10,367.09,19.29,41.83,0.5248,0.5054,0.5513
81,25-34,Family with Kids,15-30 miles,Club Level,Casual Fan,3,118.76,37.07,40.37,0.2688,0.8616,0.429
82,45-54,Family with Kids,30-60 miles,Group Sales,Repeat Buyer,14,143.17,21.98,11.87,0.2251,0.1178,0.3257
83,45-54,Couple,15-30 miles,Student Promo,New Fan,3,61.85,35.1,36.73,0.347,0.6243,0.3437
84,25-34,Empty Nester,<5 miles,Family Pack,Repeat Buyer,11,157.53,12.28,65.28,0.4867,0.6567,0.4309
85,45-54,Couple,<5 miles,Premium Courtside,Repeat Buyer,7,76.24,20.69,72.67,0.5169,0.696,0.3924
86,45-54,Empty Nester,5-15 miles,Family Pack,Repeat Buyer,9,164.81,16.6,40.96,0.2068,0.5723,0.4011
87,45-54,Student,30-60 miles,Club Level,Corporate Guest,7,206.08,10.61,30.21,0.1549,0.4987,0.3786
88,55-64,Corporate,15-30 miles,Season Ticket,Repeat Buyer,6,109.29,20.59,77.85,0.3719,0.4307,0.4034
89,18-24,Family with Kids,60+ miles,Premium Courtside,Casual Fan,2,89.55,15.72,6.45,0.2829,0.7082,0.2506
90,18-24,Single,15-30 miles,Lower Bowl,New Fan,1,68.75,18.1,32.29,0.2019,0.5073,0.2699
91,45-54,Couple,60+ miles,Student Promo,Casual Fan,3,102.2,24.79,31.28,0.3941,0.7283,0.3385
92,35-44,Corporate,15-30 miles,Upper Bowl,New Fan,1,88.11,40.07,48.36,0.2754,0.4465,0.3785
93,18-24,Corporate,15-30 miles,Lower Bowl,Corporate Guest,10,280.03,42.83,42.27,0.2428,0.7145,0.5979
94,25-34,Empty Nester,<5 miles,Student Promo,Casual Fan,7,90.88,8.45,71.15,0.3292,0.2553,0.3255
95,25-34,Corporate,30-60 miles,Family Pack,Season Ticket Holder,39,148.25,38.35,33.61,0.3359,0.6702,0.5966
96,25-34,Empty Nester,60+ miles,Corporate Partner Allocation,Casual Fan,3,80.02,14.51,67.97,0.277,0.5666,0.3455
97,45-54,Family with Kids,15-30 miles,Season Ticket,Repeat Buyer,11,81.18,11.96,13.04,0.1228,0.3671,0.2617
98,45-54,Student,5-15 miles,Premium Courtside,New Fan,4,84.46,23.02,24.19,0.3092,0.5176,0.2936
99,65+,Corporate,<5 miles,Club Level,Corporate Guest,5,366.59,36.03,28.08,0.2664,0.8141,0.6004
100,35-44,Corporate,60+ miles,Lower Bowl,Casual Fan,3,65.67,41.17,15.64,0.1045,0.504,0.3274
101,55-64,Empty Nester,15-30 miles,Student Promo,Season Ticket Holder,35,168.83,37.06,64.42,0.102,0.1115,0.6024
102,25-34,Couple,30-60 miles,Student Promo,Casual Fan,7,63.42,33.17,41.1,0.1038,0.7615,0.3921
103,18-24,Empty Nester,5-15 miles,Student Promo,Casual Fan,7,85.1,36.31,18.18,0.593,0.2533,0.3011
104,35-44,Single,15-30 miles,Corporate Partner Allocation,Casual Fan,4,105.85,29.11,16.7,0.2984,0.4881,0.3141
105,65+,Empty Nester,5-15 miles,Upper Bowl,Casual Fan,5,93.82,27.3,76.21,0.5029,0.7852,0.4346
106,18-24,Couple,30-60 miles,Upper Bowl,Repeat Buyer,6,147.76,36.61,52.11,0.3861,0.2246,0.4171
107,18-24,Student,15-30 miles,Upper Bowl,Casual Fan,6,73.48,18.8,67.05,0.1221,0.4093,0.3596
108,35-44,Student,5-15 miles,Family Pack,Casual Fan,7,71.81,13.82,18.88,0.1607,0.6375,0.2772
109,35-44,Student,30-60 miles,Student Promo,Premium Member,25,361.98,14.45,58.65,0.2442,0.6432,0.6637
110,45-54,Family with Kids,15-30 miles,Season Ticket,Repeat Buyer,14,139.51,15.78,47.6,0.2134,0.1399,0.372
111,55-64,Couple,15-30 miles,Lower Bowl,Repeat Buyer,13,155.33,19.01,44.39,0.2844,0.5963,0.4262
112,55-64,Single,5-15 miles,Group Sales,New Fan,3,48.79,42.05,77.05,0.2451,0.263,0.4013
113,55-64,Single,15-30 miles,Club Level,Premium Member,26,206.63,24.99,65.77,0.4457,0.1679,0.5387
114,25-34,Family with Kids,15-30 miles,Group Sales,Casual Fan,3,95.7,39.74,15.34,0.4967,0.5325,0.3287
115,45-54,Empty Nester,30-60 miles,Corporate Partner Allocation,Season Ticket Holder,41,225.54,9.83,40.2,0.3897,0.5417,0.5682
116,18-24,Corporate,15-30 miles,Family Pack,Repeat Buyer,15,83.38,25.7,41.95,0.4585,0.6755,0.397
117,25-34,Couple,<5 miles,Corporate Partner Allocation,Casual Fan,7,63.56,28.84,79.66,0.3239,0.2154,0.3844
118,25-34,Student,<5 miles,Family Pack,Repeat Buyer,6,110.51,23.19,34.98,0.1288,0.7092,0.3726
119,65+,Family with Kids,5-15 miles,Corporate Partner Allocation,Casual Fan,3,86.84,26.13,51.43,0.314,0.3384,0.3338
120,45-54,Single,5-15 miles,Season Ticket,Premium Member,35,329.77,43.18,76.55,0.4703,0.5958,0.8007
121,25-34,Student,15-30 miles,Family Pack,Season Ticket Holder,35,162.48,39.64,73.34,0.3389,0.5183,0.6516
122,35-44,Single,60+ miles,Upper Bowl,Season Ticket Holder,41,206.87,40.54,58.58,0.1285,0.6715,0.7166
123,25-34,Couple,30-60 miles,Upper Bowl,Season Ticket Holder,40,219.97,22.75,61.84,0.7621,0.2436,0.5942
124,35-44,Student,30-60 miles,Family Pack,New Fan,2,81.54,11.18,16.63,0.402,0.8398,0.2555
125,65+,Empty Nester,30-60 miles,Upper Bowl,Repeat Buyer,8,77.21,18.5,41.21,0.2555,0.8252,0.3578
126,35-44,Family with Kids,5-15 miles,Group Sales,Season Ticket Holder,35,173.01,19.39,50.08,0.297,0.3955,0.5385
127,18-24,Corporate,60+ miles,Corporate Partner Allocation,Premium Member,26,202.53,9.21,9.12,0.4739,0.3642,0.3949
128,25-34,Empty Nester,5-15 miles,Student Promo,Casual Fan,4,88.28,28.21,18.88,0.4833,0.2133,0.2648
129,25-34,Single,<5 miles,Club Level,Casual Fan,8,100.6,36.55,15.81,0.2891,0.2656,0.3309
130,25-34,Corporate,60+ miles,Season Ticket,Casual Fan,3,117.08,18.44,25.97,0.2951,0.2707,0.2782
131,18-24,Couple,15-30 miles,Group Sales,Premium Member,32,398.21,36.0,33.76,0.2585,0.5331,0.7395
132,25-34,Empty Nester,60+ miles,Premium Courtside,Repeat Buyer,15,169.2,25.91,62.7,0.2322,0.8883,0.5359
133,35-44,Corporate,5-15 miles,Lower Bowl,Casual Fan,4,64.87,21.02,9.06,0.1252,0.4654,0.2473
134,35-44,Empty Nester,60+ miles,Group Sales,New Fan,2,48.84,37.97,74.18,0.5801,0.5884,0.3932
135,18-24,Student,5-15 miles,Lower Bowl,Repeat Buyer,9,124.44,34.93,32.89,0.2418,0.4934,0.406
136,25-34,Student,5-15 miles,Student Promo,New Fan,4,56.06,21.38,78.2,0.2322,0.3336,0.3528
137,18-24,Empty Nester,15-30 miles,Corporate Partner Allocation,Corporate Guest,6,230.16,14.25,17.4,0.3943,0.5213,0.3708
138,35-44,Family with Kids,5-15 miles,Student Promo,Casual Fan,8,82.91,8.14,21.0,0.5278,0.2988,0.2235
139,55-64,Family with Kids,15-30 miles,Upper Bowl,Season Ticket Holder,37,152.95,14.53,5.26,0.0882,0.6416,0.4675
140,45-54,Corporate,60+ miles,Lower Bowl,Casual Fan,5,102.45,33.78,59.82,0.3698,0.2798,0.3883
141,35-44,Single,<5 miles,Season Ticket,Casual Fan,5,67.63,19.91,73.65,0.4169,0.312,0.3418
142,25-34,Single,5-15 miles,Upper Bowl,Season Ticket Holder,35,236.38,26.75,50.35,0.3479,0.5819,0.6289
143,45-54,Corporate,<5 miles,Corporate Partner Allocation,Repeat Buyer,14,93.06,23.92,17.36,0.491,0.4947,0.3279
144,35-44,Couple,5-15 miles,Corporate Partner Allocation,New Fan,4,59.83,43.57,50.76,0.2408,0.4006,0.3845
145,55-64,Single,15-30 miles,Upper Bowl,Season Ticket Holder,41,271.86,25.97,40.67,0.1356,0.9331,0.7108
146,35-44,Empty Nester,30-60 miles,Corporate Partner Allocation,Casual Fan,5,73.45,43.98,31.34,0.2566,0.6306,0.3871
147,35-44,Single,30-60 miles,Family Pack,Casual Fan,2,56.06,22.54,61.52,0.21,0.3345,0.3168
148,45-54,Corporate,30-60 miles,Club Level,Season Ticket Holder,36,166.21,37.95,18.82,0.2172,0.9718,0.603
149,35-44,Single,60+ miles,Family Pack,Casual Fan,6,96.93,43.66,75.49,0.3228,0.776,0.5032
150,18-24,Family with Kids,15-30 miles,Family Pack,Casual Fan,7,71.55,21.02,64.58,0.1448,0.4731,0.371
151,35-44,Couple,<5 miles,Premium Courtside,Casual Fan,4,61.94,33.94,77.71,0.8229,0.212,0.3566
152,55-64,Single,5-15 miles,Club Level,New Fan,1,64.17,23.28,54.6,0.3841,0.7,0.3356
153,65+,Family with Kids,5-15 miles,Lower Bowl,Casual Fan,6,108.98,27.25,62.59,0.1546,0.2958,0.3941
154,35-44,Family with Kids,15-30 miles,Family Pack,Casual Fan,2,68.45,17.0,67.38,0.2239,0.5784,0.3426
155,45-54,Student,30-60 miles,Family Pack,Casual Fan,3,65.72,35.13,46.12,0.3028,0.7966,0.3838
156,25-34,Corporate,<5 miles,Club Level,Casual Fan,5,58.54,10.51,18.46,0.2369,0.402,0.2179
157,55-64,Couple,<5 miles,Lower Bowl,Casual Fan,7,119.09,24.69,48.22,0.1973,0.4054,0.3802
158,25-34,Single,<5 miles,Lower Bowl,Casual Fan,4,119.44,11.2,66.01,0.4096,0.3477,0.3378
159,45-54,Family with Kids,<5 miles,Club Level,Corporate Guest,4,189.71,44.02,55.67,0.5175,0.268,0.4691
160,25-34,Couple,<5 miles,Upper Bowl,Premium Member,37,360.19,17.53,71.89,0.1047,0.5642,0.755
161,35-44,Couple,60+ miles,Corporate Partner Allocation,Corporate Guest,11,251.59,41.35,46.28,0.1572,0.6548,0.5816
162,45-54,Corporate,<5 miles,Corporate Partner Allocation,Season Ticket Holder,38,205.41,15.61,18.92,0.3135,0.5462,0.5216
163,45-54,Empty Nester,<5 miles,Family Pack,Casual Fan,6,110.17,14.81,42.92,0.2705,0.5284,0.3341
164,65+,Family with Kids,30-60 miles,Upper Bowl,Premium Member,25,376.89,31.61,32.9,0.4418,0.2964,0.6397
165,55-64,Empty Nester,5-15 miles,Family Pack,Season Ticket Holder,40,145.91,18.24,74.22,0.7752,0.917,0.6115
166,35-44,Student,15-30 miles,Group Sales,Casual Fan,2,94.02,28.99,60.16,0.421,0.3799,0.3593
167,18-24,Family with Kids,15-30 miles,Premium Courtside,Casual Fan,4,57.26,14.07,51.82,0.4888,0.5474,0.2884
168,18-24,Couple,15-30 miles,Family Pack,Casual Fan,8,71.19,33.87,59.7,0.1474,0.7698,0.4388
169,35-44,Empty Nester,60+ miles,Corporate Partner Allocation,Premium Member,31,285.01,23.6,79.41,0.412,0.5007,0.6799
170,25-34,Student,5-15 miles,Student Promo,Season Ticket Holder,37,156.16,36.74,62.37,0.197,0.4639,0.6279
171,65+,Couple,5-15 miles,Club Level,Premium Member,40,397.2,43.98,11.94,0.2064,0.327,0.7454
172,55-64,Single,15-30 miles,Season Ticket,Casual Fan,7,106.18,22.72,61.84,0.2314,0.2309,0.3699
173,18-24,Empty Nester,60+ miles,Upper Bowl,Casual Fan,4,109.79,38.88,19.12,0.1656,0.4806,0.3601
174,55-64,Empty Nester,5-15 miles,Upper Bowl,New Fan,3,41.29,40.4,40.4,0.333,0.5571,0.3462
175,18-24,Single,<5 miles,Season Ticket,Repeat Buyer,14,107.62,33.58,69.24,0.3174,0.8669,0.5146
176,35-44,Family with Kids,30-60 miles,Group Sales,Premium Member,24,266.94,24.95,41.87,0.5184,0.4692,0.5574
177,55-64,Family with Kids,15-30 miles,Upper Bowl,Season Ticket Holder,41,141.46,26.99,38.58,0.5159,0.3604,0.5326
178,25-34,Student,15-30 miles,Family Pack,Casual Fan,7,66.56,34.8,20.6,0.2097,0.1923,0.2993
179,35-44,Couple,<5 miles,Club Level,Casual Fan,5,69.35,15.86,58.68,0.3895,0.8801,0.3598
180,18-24,Single,5-15 miles,Family Pack,Season Ticket Holder,37,179.17,37.79,42.31,0.4392,0.4073,0.5939
181,35-44,Empty Nester,5-15 miles,Lower Bowl,Repeat Buyer,10,161.84,25.29,42.41,0.2513,0.5297,0.4289
182,25-34,Couple,15-30 miles,Group Sales,Premium Member,30,409.69,10.93,62.82,0.3614,0.5732,0.7085
183,18-24,Couple,5-15 miles,Family Pack,Season Ticket Holder,40,221.12,25.61,32.0,0.7196,0.2123,0.5477
184,55-64,Corporate,60+ miles,Corporate Partner Allocation,Casual Fan,8,102.41,34.15,31.23,0.2531,0.6037,0.3888
185,55-64,Corporate,5-15 miles,Group Sales,Season Ticket Holder,38,229.62,27.12,67.1,0.5459,0.8188,0.6848
186,25-34,Corporate,15-30 miles,Premium Courtside,Season Ticket Holder,41,228.94,42.18,46.91,0.2207,0.466,0.6922
187,55-64,Family with Kids,5-15 miles,Family Pack,Casual Fan,4,55.72,12.64,75.87,0.1529,0.5053,0.3401
188,35-44,Family with Kids,5-15 miles,Student Promo,Casual Fan,5,94.64,40.57,46.95,0.7402,0.4328,0.3775
189,25-34,Family with Kids,5-15 miles,Lower Bowl,Repeat Buyer,8,149.13,27.64,9.08,0.7868,0.4262,0.3175
190,25-34,Empty Nester,15-30 miles,Lower Bowl,Season Ticket Holder,36,250.63,29.34,29.27,0.4388,0.4947,0.6008
191,65+,Single,<5 miles,Season Ticket,Season Ticket Holder,36,165.68,12.2,42.88,0.0692,0.4076,0.5128
192,45-54,Student,30-60 miles,Family Pack,Casual Fan,4,112.89,11.74,37.65,0.388,0.5349,0.3011
193,25-34,Couple,5-15 miles,Family Pack,Premium Member,25,207.5,43.78,42.1,0.3199,0.7937,0.6216
194,55-64,Empty Nester,<5 miles,Group Sales,Season Ticket Holder,38,244.07,11.3,56.52,0.4022,0.6756,0.6163
195,18-24,Student,<5 miles,Family Pack,Corporate Guest,9,180.55,21.94,79.38,0.1744,0.7563,0.5232
196,45-54,Family with Kids,15-30 miles,Group Sales,Repeat Buyer,12,81.79,43.58,15.43,0.274,0.5396,0.3866
197,25-34,Corporate,60+ miles,Club Level,Casual Fan,3,57.84,31.92,21.3,0.2568,0.6446,0.3076
198,18-24,Couple,5-15 miles,Upper Bowl,Casual Fan,3,60.81,36.46,11.18,0.3326,0.2974,0.2675
199,45-54,Single,30-60 miles,Family Pack,Corporate Guest,8,278.44,14.66,27.86,0.4469,0.533,0.4377
200,18-24,Couple,<5 miles,Student Promo,Season Ticket Holder,41,193.81,22.91,7.6,0.5513,0.4625,0.51
201,35-44,Student,<5 miles,Upper Bowl,New Fan,4,76.41,26.0,71.66,0.1664,0.4188,0.3835
202,18-24,Couple,<5 miles,Club Level,Premium Member,34,244.94,17.76,77.85,0.5109,0.4706,0.633
203,35-44,Corporate,30-60 miles,Upper Bowl,Repeat Buyer,9,177.08,12.75,63.39,0.2441,0.7723,0.458
204,35-44,Couple,5-15 miles,Family Pack,Season Ticket Holder,41,276.67,8.88,74.71,0.1511,0.5148,0.6788
205,45-54,Family with Kids,<5 miles,Season Ticket,Corporate Guest,3,300.68,23.8,72.24,0.5667,0.654,0.5503
206,45-54,Family with Kids,30-60 miles,Student Promo,Corporate Guest,11,189.09,23.49,22.67,0.0661,0.7317,0.4414
207,25-34,Empty Nester,30-60 miles,Premium Courtside,New Fan,2,54.1,19.13,32.16,0.2645,0.7872,0.2914
208,35-44,Couple,15-30 miles,Premium Courtside,Season Ticket Holder,39,149.77,33.94,14.66,0.4058,0.7618,0.5532
209,35-44,Couple,<5 miles,Premium Courtside,Repeat Buyer,12,160.53,24.07,8.92,0.1974,0.7913,0.3996
210,65+,Empty Nester,5-15 miles,Club Level,Casual Fan,8,61.81,15.05,52.3,0.2377,0.6534,0.3388
211,65+,Empty Nester,15-30 miles,Family Pack,New Fan,2,78.28,33.77,47.49,0.4119,0.455,0.3472
212,65+,Corporate,15-30 miles,Group Sales,Casual Fan,3,63.06,10.86,16.2,0.5216,0.3758,0.1917
213,35-44,Single,<5 miles,Student Promo,Casual Fan,8,83.9,29.69,58.5,0.3344,0.5088,0.3971
214,55-64,Single,<5 miles,Group Sales,Casual Fan,8,65.64,33.45,26.95,0.5148,0.5316,0.3295
215,45-54,Empty Nester,30-60 miles,Premium Courtside,Repeat Buyer,11,167.64,21.22,57.51,0.1009,0.6303,0.4706
216,65+,Empty Nester,30-60 miles,Student Promo,Casual Fan,4,64.62,42.69,41.48,0.4243,0.552,0.3738
217,55-64,Student,60+ miles,Premium Courtside,Corporate Guest,9,237.33,15.96,5.21,0.3265,0.5844,0.3836
218,55-64,Couple,15-30 miles,Season Ticket,Casual Fan,6,60.58,22.74,38.03,0.2811,0.3268,0.2921
219,65+,Student,<5 miles,Corporate Partner Allocation,Casual Fan,6,70.28,25.3,47.01,0.5462,0.4251,0.3216
220,35-44,Couple,<5 miles,Premium Courtside,Casual Fan,4,78.94,26.05,31.2,0.6454,0.6559,0.3096
221,25-34,Student,15-30 miles,Group Sales,Season Ticket Holder,37,209.03,9.76,51.84,0.5049,0.6517,0.5627
222,18-24,Empty Nester,15-30 miles,Club Level,Repeat Buyer,5,99.67,42.98,7.95,0.6547,0.3215,0.3095
223,35-44,Couple,<5 miles,Premium Courtside,Casual Fan,2,92.09,22.32,54.23,0.0519,0.1668,0.3216
224,65+,Single,<5 miles,Upper Bowl,Season Ticket Holder,37,235.99,30.5,78.83,0.3477,0.6118,0.7073
