promotion_id,game_id,promotion_flag,promotion_type,promotion_cost,expected_promotion_lift_pct,sponsor_category,sponsor_value_estimate
340,340,True,Merchandise Giveaway,22915.59,8.11,Financial,40238.93
341,341,True,Corporate Partner Night,5018.15,3.14,Beverage,19842.43
342,342,True,Food Voucher,10710.52,5.93,Financial,53454.0
343,343,True,Community Night,8116.03,4.47,Healthcare,70763.44
344,344,True,Corporate Partner Night,5512.75,3.49,Retail,39770.54
345,345,True,Community Night,9902.0,5.05,Auto,8332.94
346,346,True,Food Voucher,10847.42,5.02,Beverage,64792.14
347,347,False,,0.0,0.0,,0.0
348,348,False,,0.0,0.0,,0.0
349,349,True,Corporate Partner Night,4424.29,3.28,Retail,40036.14
350,350,True,Community Night,7763.96,5.5,Healthcare,29664.3
351,351,True,Community Night,9208.19,5.7,Retail,14595.56
352,352,True,Corporate Partner Night,5579.5,3.56,Financial,63387.06
353,353,False,,0.0,0.0,,0.0
354,354,False,,0.0,0.0,,0.0
355,355,False,,0.0,0.0,,0.0
356,356,True,Premium Experience,28055.93,4.06,Beverage,55743.59
357,357,True,Community Night,7814.83,5.43,Financial,30552.89
358,358,False,,0.0,0.0,,0.0
359,359,True,Theme Night,18055.26,7.46,Beverage,70274.8
360,360,False,,0.0,0.0,,0.0
361,361,False,,0.0,0.0,,0.0
362,362,False,,0.0,0.0,,0.0
363,363,True,Food Voucher,11650.02,4.96,Beverage,30061.27
364,364,True,Family Night,7313.42,6.52,Auto,60530.16
365,365,False,,0.0,0.0,,0.0
366,366,True,Theme Night,16034.87,7.78,Beverage,15498.35
367,367,True,Food Voucher,12265.12,5.31,Auto,29417.03
368,368,False,,0.0,0.0,,0.0
369,369,True,Food Voucher,10724.96,5.09,Healthcare,17646.55
370,370,True,Merchandise Giveaway,21603.87,9.62,Beverage,27183.09
371,371,False,,0.0,0.0,,0.0
372,372,True,Student Discount,3754.5,3.4,Financial,73444.01
373,373,False,,0.0,0.0,,0.0
374,374,True,Community Night,8381.53,5.09,Auto,8809.5
375,375,False,,0.0,0.0,,0.0
376,376,False,,0.0,0.0,,0.0
377,377,True,Food Voucher,11902.96,5.63,Auto,66639.12
378,378,True,Theme Night,20692.54,7.51,Auto,71981.59
379,379,False,,0.0,0.0,,0.0
380,380,False,,0.0,0.0,,0.0
381,381,True,Merchandise Giveaway,23961.08,9.65,Auto,9705.03
382,382,True,Food Voucher,12652.48,5.68,Financial,65856.3
383,383,True,Student Discount,3647.81,4.85,Auto,59100.27
384,384,True,Student Discount,3298.69,4.57,Auto,59681.79
385,385,False,,0.0,0.0,,0.0
386,386,True,Premium Experience,33869.26,3.07,Auto,48820.89
387,387,False,,0.0,0.0,,0.0
388,388,False,,0.0,0.0,,0.0
389,389,True,Food Voucher,10396.94,5.51,Tech,9897.66
390,390,True,Community Night,9610.31,5.19,Beverage,53944.27
391,391,True,Corporate Partner Night,4859.25,3.2,Healthcare,12163.15
392,392,False,,0.0,0.0,,0.0
393,393,True,Corporate Partner Night,4405.1,2.51,Beverage,21786.81
394,394,False,,0.0,0.0,,0.0
395,395,False,,0.0,0.0,,0.0
396,396,True,Student Discount,3763.48,3.51,Healthcare,12933.1
397,397,False,,0.0,0.0,,0.0
398,398,False,,0.0,0.0,,0.0
399,399,False,,0.0,0.0,,0.0
400,400,False,,0.0,0.0,,0.0
401,401,False,,0.0,0.0,,0.0
402,402,False,,0.0,0.0,,0.0
403,403,False,,0.0,0.0,,0.0
404,404,False,,0.0,0.0,,0.0
405,405,False,,0.0,0.0,,0.0
406,406,True,Community Night,8391.32,4.14,Auto,46263.01
407,407,True,Community Night,9295.82,4.2,Beverage,67105.93
408,408,False,,0.0,0.0,,0.0
409,409,False,,0.0,0.0,,0.0
410,410,True,Corporate Partner Night,4518.3,3.97,Healthcare,19519.72
411,411,True,Student Discount,3543.67,4.81,Financial,16437.19
412,412,True,Theme Night,18482.5,7.2,Beverage,62497.33
413,413,False,,0.0,0.0,,0.0
414,414,False,,0.0,0.0,,0.0
415,415,False,,0.0,0.0,,0.0
416,416,True,Community Night,9206.53,4.31,Tech,68442.83
417,417,True,Student Discount,3365.59,4.37,Financial,10714.81
418,418,False,,0.0,0.0,,0.0
419,419,True,Premium Experience,29513.84,3.27,Healthcare,38772.61
420,420,True,Premium Experience,31919.74,3.02,Retail,38380.77
421,421,True,Corporate Partner Night,4756.91,3.81,Tech,39530.23
422,422,False,,0.0,0.0,,0.0
423,423,True,Merchandise Giveaway,23944.01,9.77,Financial,27685.95
424,424,True,Food Voucher,11839.06,5.74,Financial,14658.22
425,425,True,Premium Experience,28295.63,3.16,Auto,31208.37
426,426,False,,0.0,0.0,,0.0
427,427,False,,0.0,0.0,,0.0
428,428,True,Merchandise Giveaway,20628.32,8.9,Financial,73992.26
429,429,False,,0.0,0.0,,0.0
430,430,True,Merchandise Giveaway,20875.52,9.07,Retail,9980.01
431,431,False,,0.0,0.0,,0.0
432,432,True,Merchandise Giveaway,24150.28,8.77,Financial,22921.25
433,433,False,,0.0,0.0,,0.0
434,434,True,Student Discount,3110.89,4.67,Tech,57571.41
435,435,True,Family Night,8185.7,6.33,Tech,34324.45
436,436,False,,0.0,0.0,,0.0
437,437,True,Merchandise Giveaway,21349.3,9.23,Retail,39287.14
438,438,True,Food Voucher,11152.4,5.35,Beverage,49900.43
439,439,True,Theme Night,17282.13,7.14,Healthcare,28428.04
440,440,False,,0.0,0.0,,0.0
441,441,False,,0.0,0.0,,0.0
442,442,True,Theme Night,17065.12,7.47,Beverage,50754.71
443,443,True,Corporate Partner Night,5214.01,3.13,Beverage,59074.24
444,444,False,,0.0,0.0,,0.0
445,445,True,Food Voucher,11485.18,5.58,Tech,18726.13
446,446,True,Student Discount,3804.03,4.46,Financial,23871.13
447,447,True,Family Night,8441.18,6.08,Beverage,54162.0
448,448,False,,0.0,0.0,,0.0
449,449,False,,0.0,0.0,,0.0
450,450,False,,0.0,0.0,,0.0
451,451,False,,0.0,0.0,,0.0
452,452,True,Family Night,7357.86,6.77,Tech,60614.93
453,453,False,,0.0,0.0,,0.0
454,454,False,,0.0,0.0,,0.0
455,455,True,Theme Night,18887.49,6.04,Financial,55406.26
456,456,True,Family Night,7177.32,6.44,Tech,55629.33
457,457,False,,0.0,0.0,,0.0
458,458,True,Community Night,7712.16,4.83,Financial,62044.19
459,459,True,Family Night,8335.2,5.71,Auto,5040.29
460,460,True,Merchandise Giveaway,19615.7,9.64,Healthcare,71883.79
461,461,True,Corporate Partner Night,5198.75,3.9,Financial,70379.95
462,462,False,,0.0,0.0,,0.0
463,463,True,Corporate Partner Night,5306.66,3.11,Beverage,60961.25
464,464,False,,0.0,0.0,,0.0
465,465,True,Corporate Partner Night,4996.58,2.36,Auto,31251.34
466,466,False,,0.0,0.0,,0.0
467,467,False,,0.0,0.0,,0.0
468,468,False,,0.0,0.0,,0.0
469,469,True,Merchandise Giveaway,23492.09,8.04,Retail,41316.88
470,470,True,Premium Experience,29564.46,4.54,Tech,45560.02
471,471,False,,0.0,0.0,,0.0
472,472,False,,0.0,0.0,,0.0
473,473,False,,0.0,0.0,,0.0
474,474,True,Family Night,7322.63,6.02,Auto,54299.99
475,475,True,Family Night,8000.44,5.6,Financial,48072.45
476,476,True,Food Voucher,12329.77,5.98,Healthcare,39682.04
477,477,True,Student Discount,3946.65,4.35,Retail,43134.13
478,478,True,Family Night,8801.54,6.96,Tech,16967.96
479,479,True,Premium Experience,33248.69,4.43,Retail,12261.19
480,480,False,,0.0,0.0,,0.0
481,481,True,Merchandise Giveaway,22236.23,8.32,Financial,40651.38
482,482,True,Family Night,9104.06,6.48,Healthcare,9802.15
483,483,False,,0.0,0.0,,0.0
484,484,True,Premium Experience,25989.96,4.76,Retail,54096.51
485,485,True,Food Voucher,11662.69,5.4,Retail,60150.58
486,486,True,Premium Experience,33313.13,3.46,Beverage,70226.49
487,487,True,Student Discount,3426.83,3.94,Healthcare,72393.37
488,488,True,Merchandise Giveaway,20641.27,8.26,Tech,25214.04
489,489,False,,0.0,0.0,,0.0
490,490,False,,0.0,0.0,,0.0
491,491,True,Theme Night,16938.7,7.07,Auto,63562.24
492,492,False,,0.0,0.0,,0.0
493,493,True,Merchandise Giveaway,23092.86,9.87,Beverage,10855.66
494,494,False,,0.0,0.0,,0.0
495,495,True,Premium Experience,27244.66,3.79,Financial,49890.16
496,496,True,Student Discount,3604.99,3.42,Healthcare,56897.67
497,497,False,,0.0,0.0,,0.0
498,498,True,Merchandise Giveaway,23753.83,9.41,Tech,56639.8
499,499,True,Merchandise Giveaway,20913.72,8.47,Auto,13508.58
500,500,False,,0.0,0.0,,0.0
501,501,False,,0.0,0.0,,0.0
502,502,False,,0.0,0.0,,0.0
503,503,False,,0.0,0.0,,0.0
504,504,True,Corporate Partner Night,5151.24,3.09,Beverage,69247.09
505,505,True,Community Night,9442.76,5.4,Auto,26955.65
506,506,True,Theme Night,18812.55,6.6,Beverage,43415.48
507,507,False,,0.0,0.0,,0.0
508,508,True,Family Night,8840.37,6.59,Tech,27066.5
509,509,False,,0.0,0.0,,0.0
510,510,True,Merchandise Giveaway,21432.72,8.48,Financial,5882.85
511,511,True,Family Night,8563.54,6.4,Retail,60001.37
512,512,False,,0.0,0.0,,0.0
513,513,True,Premium Experience,33479.13,3.41,Healthcare,26897.37
514,514,False,,0.0,0.0,,0.0
515,515,False,,0.0,0.0,,0.0
516,516,True,Premium Experience,31410.25,4.38,Retail,8348.15
517,517,False,,0.0,0.0,,0.0
518,518,False,,0.0,0.0,,0.0
519,519,True,Student Discount,3827.64,4.22,Tech,12912.57
520,520,True,Theme Night,18210.15,6.94,Financial,6562.97
521,521,True,Merchandise Giveaway,22292.57,8.11,Tech,46836.71
522,522,True,Premium Experience,25517.63,3.67,Beverage,59578.53
523,523,True,Food Voucher,12152.83,5.52,Retail,73379.79
524,524,True,Premium Experience,28565.91,3.17,Tech,60545.12
525,525,True,Family Night,8706.93,6.28,Retail,46379.79
526,526,False,,0.0,0.0,,0.0
527,527,True,Community Night,8493.18,4.65,Beverage,18483.25
528,528,False,,0.0,0.0,,0.0
529,529,False,,0.0,0.0,,0.0
530,530,False,,0.0,0.0,,0.0
531,531,True,Community Night,10040.65,5.05,Financial,66315.54
532,532,True,Community Night,7843.66,4.89,Retail,68078.91
533,533,True,Community Night,8624.37,5.66,Auto,49198.96
534,534,False,,0.0,0.0,,0.0
