game_id,arena_capacity,actual_attendance,capacity_pct,expected_attendance_baseline,attendance_variance,attendance_tier
77,19156,19156,100.0,18438,718,Sellout
78,19156,18620,97.2,19156,-536,Sellout
79,19156,17684,92.32,18055,-371,High
80,19156,19156,100.0,19105,51,Sellout
81,19156,15418,80.49,16588,-1170,Medium
82,19156,18912,98.73,19001,-89,Sellout
83,17732,16907,95.35,17568,-661,Sellout
84,17732,16001,90.24,15972,29,High
85,17732,14509,81.82,15165,-656,Medium
86,17732,16664,93.98,15917,747,High
87,17732,15979,90.11,16340,-361,High
88,17732,17732,100.0,17732,0,Sellout
89,17732,15229,85.88,16289,-1060,Medium
90,17732,17393,98.09,17609,-216,Sellout
91,17732,14154,79.82,15062,-908,Medium
92,17732,17732,100.0,17732,0,Sellout
93,17732,16345,92.18,16894,-549,High
94,17732,14955,84.34,15017,-62,Medium
95,17732,15838,89.32,15588,250,High
96,17732,16756,94.5,17286,-530,High
97,17732,15630,88.15,16481,-851,High
98,17732,17236,97.2,17104,132,Sellout
99,17732,15377,86.72,16748,-1371,Medium
100,17732,16089,90.73,15137,952,High
101,17732,15018,84.69,15115,-97,Medium
102,17732,14976,84.46,16021,-1045,Medium
103,17732,15613,88.05,15801,-188,High
104,17732,16645,93.87,16235,410,High
105,17732,16450,92.77,17030,-580,High
106,17732,15888,89.6,17266,-1378,High
107,17732,16379,92.37,16467,-88,High
108,17732,17732,100.0,17732,0,Sellout
109,17732,15357,86.61,15191,166,Medium
110,17732,15524,87.55,15238,286,Medium
111,17732,16892,95.26,16214,678,Sellout
112,17732,17732,100.0,16883,849,Sellout
113,17732,14283,80.55,16193,-1910,Medium
114,17732,13993,78.91,14932,-939,Medium
115,17732,17395,98.1,17276,119,Sellout
116,17732,17732,100.0,17732,0,Sellout
117,17732,16360,92.26,17458,-1098,High
118,17732,15926,89.82,16481,-555,High
119,17732,17732,100.0,16572,1160,Sellout
120,17732,16558,93.38,16809,-251,High
121,17732,17423,98.26,17274,149,Sellout
122,17732,17732,100.0,17097,635,Sellout
123,17732,15831,89.28,15765,66,High
124,19077,16452,86.24,15851,601,Medium
125,19077,17026,89.25,16590,436,High
126,19077,17778,93.19,18034,-256,High
127,19077,17766,93.13,18066,-300,High
128,19077,17940,94.04,17039,901,High
129,19077,16416,86.05,16422,-6,Medium
130,19077,14480,75.9,15250,-770,Medium
131,19077,17988,94.29,17162,826,High
132,19077,14698,77.05,16877,-2179,Medium
133,19077,17149,89.89,15945,1204,High
134,19077,17788,93.24,17931,-143,High
135,19077,16525,86.62,16519,6,Medium
136,19077,17599,92.25,17535,64,High
137,19077,18537,97.17,17521,1016,Sellout
138,19077,16813,88.13,16680,133,High
139,19077,15467,81.08,15484,-17,Medium
140,19077,16321,85.55,17048,-727,Medium
141,19077,17934,94.01,18478,-544,High
142,19077,18022,94.47,17532,490,High
143,19077,17476,91.61,17306,170,High
144,19077,17677,92.66,16390,1287,High
145,19077,17176,90.04,17798,-622,High
146,19077,16159,84.7,17039,-880,Medium
147,19077,18101,94.88,17872,229,High
148,19077,18228,95.55,18293,-65,Sellout
149,19077,15779,82.71,16694,-915,Medium
150,19077,17710,92.83,18106,-396,High
151,19077,19077,100.0,19077,0,Sellout
152,19077,17455,91.5,18463,-1008,High
153,19077,15332,80.37,16200,-868,Medium
154,19077,15883,83.26,16439,-556,Medium
155,19077,17399,91.2,17939,-540,High
156,19077,18557,97.27,17951,606,Sellout
157,19077,17558,92.04,17982,-424,High
158,19077,19077,100.0,18314,763,Sellout
159,19077,17218,90.26,18013,-795,High
160,19077,17080,89.53,16801,279,High
161,19077,17954,94.11,17985,-31,High
162,19077,17784,93.22,17781,3,High
163,19077,16455,86.26,18334,-1879,Medium
164,19077,16147,84.64,16985,-838,Medium
165,20917,18612,88.98,18752,-140,High
166,20917,19171,91.65,20819,-1648,High
167,20917,18167,86.85,20613,-2446,Medium
168,20917,19388,92.69,20421,-1033,High
169,20917,19112,91.37,18830,282,High
170,20917,20917,100.0,20917,0,Sellout
171,20917,20163,96.4,20917,-754,Sellout
172,20917,19492,93.19,19661,-169,High
173,20917,20917,100.0,20638,279,Sellout
174,20917,19716,94.26,18607,1109,High
175,20917,20089,96.04,19013,1076,Sellout
176,20917,20633,98.64,19870,763,Sellout
177,20917,20569,98.34,20917,-348,Sellout
178,20917,19963,95.44,20004,-41,Sellout
179,20917,19437,92.92,19377,60,High
180,20917,20377,97.42,20558,-181,Sellout
181,20917,19897,95.12,20917,-1020,Sellout
182,20917,20917,100.0,19903,1014,Sellout
183,20917,20113,96.16,19751,362,Sellout
184,20917,20917,100.0,20680,237,Sellout
185,20917,20917,100.0,20486,431,Sellout
186,20917,19294,92.24,19656,-362,High
187,20917,18333,87.65,19587,-1254,Medium
188,20917,20557,98.28,19929,628,Sellout
189,20917,20764,99.27,20190,574,Sellout
190,20917,20819,99.53,20577,242,Sellout
191,20917,20917,100.0,20529,388,Sellout
192,20917,19891,95.09,20365,-474,Sellout
193,20917,18608,88.96,18871,-263,High
194,20917,20917,100.0,20870,47,Sellout
195,20917,18327,87.62,18743,-416,Medium
196,20917,20694,98.93,20890,-196,Sellout
197,20917,19735,94.35,18871,864,High
198,20917,19147,91.54,19688,-541,High
199,20917,19815,94.73,20299,-484,High
200,20917,20767,99.28,20284,483,Sellout
201,20917,19113,91.38,20217,-1104,High
202,20917,20917,100.0,20917,0,Sellout
203,20917,18484,88.37,18596,-112,High
204,20917,20122,96.2,19597,525,Sellout
205,20917,19279,92.17,18607,672,High
206,19432,18116,93.23,18240,-124,High
207,19432,16500,84.91,16567,-67,Medium
208,19432,19432,100.0,19432,0,Sellout
209,19432,17340,89.23,17580,-240,High
210,19432,19432,100.0,18873,559,Sellout
211,19432,18807,96.78,18417,390,Sellout
212,19432,19432,100.0,18843,589,Sellout
213,19432,16591,85.38,17273,-682,Medium
214,19432,19258,99.1,18285,973,Sellout
215,19432,19119,98.39,19026,93,Sellout
216,19432,16519,85.01,15987,532,Medium
217,19432,15727,80.93,17211,-1484,Medium
218,19432,18215,93.74,16951,1264,High
219,19432,19432,100.0,19143,289,Sellout
220,19432,19149,98.54,17700,1449,Sellout
221,19432,18795,96.72,17930,865,Sellout
222,19432,18229,93.81,19432,-1203,High
223,19432,18405,94.71,17222,1183,High
224,19432,15739,81.0,15594,145,Medium
225,19432,18793,96.71,18294,499,Sellout
226,19432,18019,92.73,17598,421,High
227,19432,15455,79.53,15532,-77,Medium
228,19432,17842,91.82,18156,-314,High
229,19432,19402,99.85,18854,548,Sellout
230,19432,17849,91.85,18496,-647,High
231,19432,17414,89.62,17392,22,High
232,19432,19331,99.48,18241,1090,Sellout
233,19432,15362,79.06,16310,-948,Medium
234,19432,17592,90.53,17747,-155,High
235,19432,19272,99.18,18364,908,Sellout
236,19432,19184,98.72,19432,-248,Sellout
237,19432,16421,84.5,17904,-1483,Medium
238,19432,15414,79.32,16954,-1540,Medium
239,19432,16113,82.92,16479,-366,Medium
240,19432,19432,100.0,18417,1015,Sellout
241,19432,16954,87.25,17547,-593,Medium
242,19432,16893,86.93,17117,-224,Medium
243,19432,16939,87.17,16898,41,Medium
244,19432,19432,100.0,19432,0,Sellout
245,19432,18252,93.93,17585,667,High
246,19432,18492,95.16,18611,-119,Sellout
247,19200,18142,94.49,17682,460,High
248,19200,17835,92.89,17020,815,High
249,19200,14837,77.28,16101,-1264,Medium
250,19200,18509,96.4,18798,-289,Sellout
251,19200,17042,88.76,17964,-922,High
252,19200,15573,81.11,16131,-558,Medium
253,19200,16819,87.6,16320,499,Medium
254,19200,15847,82.54,16768,-921,Medium
255,19200,19200,100.0,18234,966,Sellout
256,19200,19200,100.0,19024,176,Sellout
257,19200,16934,88.2,17383,-449,High
258,19200,16284,84.81,16385,-101,Medium
259,19200,15442,80.43,16432,-990,Medium
260,19200,17374,90.49,18507,-1133,High
261,19200,18886,98.36,19182,-296,Sellout
262,19200,17327,90.24,16322,1005,High
263,19200,14834,77.26,15914,-1080,Medium
264,19200,19200,100.0,19096,104,Sellout
265,19200,17660,91.98,17803,-143,High
266,19200,18589,96.82,18405,184,Sellout
267,19200,16619,86.56,16563,56,Medium
268,19200,17300,90.1,16706,594,High
269,19200,18132,94.44,17289,843,High
270,19200,19200,100.0,19200,0,Sellout
271,19200,16618,86.55,16226,392,Medium
272,19200,17590,91.61,16591,999,High
273,19200,17442,90.84,16817,625,High
274,19200,17441,90.84,17759,-318,High
275,19200,19200,100.0,19200,0,Sellout
276,19200,18400,95.83,19157,-757,Sellout
277,19200,18865,98.26,17469,1396,Sellout
278,19200,18081,94.17,17845,236,High
279,19200,17129,89.21,18207,-1078,High
280,19200,16538,86.14,17183,-645,Medium
281,19200,16105,83.88,16223,-118,Medium
282,19200,18443,96.06,17413,1030,Sellout
283,19200,16861,87.82,17008,-147,Medium
284,19200,18059,94.06,17595,464,High
285,19200,17228,89.73,17777,-549,High
286,19200,17777,92.59,17282,495,High
287,19200,18558,96.66,17559,999,Sellout
288,19520,17175,87.99,16559,616,Medium
289,19520,15791,80.9,17709,-1918,Medium
290,19520,19520,100.0,19520,0,Sellout
291,19520,15729,80.58,16555,-826,Medium
292,19520,19520,100.0,19520,0,Sellout
293,19520,17496,89.63,17441,55,High
294,19520,19520,100.0,19082,438,Sellout
295,19520,17335,88.81,17595,-260,High
296,19520,15884,81.37,15827,57,Medium
297,19520,17619,90.26,17715,-96,High
298,19520,16823,86.18,16261,562,Medium
299,19520,17240,88.32,17999,-759,High
300,19520,18154,93.0,18935,-781,High
301,19520,16153,82.75,16592,-439,Medium
302,19520,17605,90.19,17148,457,High
303,19520,18165,93.06,17354,811,High
304,19520,18345,93.98,18417,-72,High
305,19520,18903,96.84,18441,462,Sellout
306,19520,16951,86.84,16554,397,Medium
307,19520,18299,93.74,18344,-45,High
308,19520,19157,98.14,19221,-64,Sellout
309,19520,17841,91.4,17245,596,High
310,19520,18772,96.17,17276,1496,Sellout
311,19520,19520,100.0,19196,324,Sellout
312,19520,19205,98.39,18266,939,Sellout
313,19520,19520,100.0,17996,1524,Sellout
314,19520,18663,95.61,19208,-545,Sellout
315,19520,18091,92.68,17543,548,High
316,19520,19498,99.89,18361,1137,Sellout
317,19520,17288,88.57,16555,733,High
318,19520,17034,87.26,17502,-468,Medium
319,19520,17172,87.97,17794,-622,Medium
320,19520,19473,99.76,18198,1275,Sellout
321,19520,17678,90.56,17354,324,High
322,19520,17954,91.98,17716,238,High
323,19520,17475,89.52,17460,15,High
324,19520,19520,100.0,18634,886,Sellout
325,19520,19318,98.97,18558,760,Sellout
326,19520,18320,93.85,18465,-145,High
327,19520,19263,98.68,18551,712,Sellout
328,19520,18427,94.4,18288,139,High
329,20491,20491,100.0,19788,703,Sellout
330,20491,19615,95.72,18503,1112,Sellout
331,20491,20073,97.96,19060,1013,Sellout
332,20491,16894,82.45,18308,-1414,Medium
333,20491,17220,84.04,16799,421,Medium
334,20491,20491,100.0,20456,35,Sellout
335,20491,18611,90.83,19200,-589,High
336,20491,19549,95.4,17919,1630,Sellout
337,20491,17453,85.17,16944,509,Medium
338,20491,19960,97.41,19174,786,Sellout
339,20491,19015,92.8,18230,785,High
340,20491,18855,92.02,19957,-1102,High
341,20491,19148,93.45,18332,816,High
342,20491,19843,96.84,19439,404,Sellout
343,20491,17619,85.98,17986,-367,Medium
344,20491,19664,95.96,18333,1331,Sellout
345,20491,17528,85.54,19081,-1553,Medium
346,20491,17013,83.03,17515,-502,Medium
347,20491,18052,88.1,16861,1191,High
348,20491,20491,100.0,19887,604,Sellout
349,20491,18848,91.98,19289,-441,High
350,20491,19099,93.21,19682,-583,High
351,20491,17582,85.8,17715,-133,Medium
352,20491,19100,93.21,18779,321,High
353,20491,17388,84.86,17670,-282,Medium
354,20491,18115,88.4,18104,11,High
355,20491,17291,84.38,17133,158,Medium
356,20491,17770,86.72,17952,-182,Medium
357,20491,18376,89.68,18645,-269,High
358,20491,20040,97.8,20491,-451,Sellout
359,20491,20168,98.42,20085,83,Sellout
360,20491,17168,83.78,17101,67,Medium
361,20491,16197,79.04,16861,-664,Medium
362,20491,17625,86.01,17290,335,Medium
363,20491,18946,92.46,17877,1069,High
364,20491,19262,94.0,19106,156,High
365,20491,17589,85.84,17133,456,Medium
366,20491,20491,100.0,20258,233,Sellout
367,20491,18722,91.37,18647,75,High
368,20491,19701,96.14,18866,835,Sellout
369,20491,17711,86.43,19495,-1784,Medium
370,18064,18004,99.67,18064,-60,Sellout
371,18064,15681,86.81,16386,-705,Medium
372,18064,17927,99.24,16817,1110,Sellout
373,18064,18064,100.0,17518,546,Sellout
374,18064,17642,97.66,18064,-422,Sellout
375,18064,15191,84.1,15806,-615,Medium
376,18064,15923,88.15,16823,-900,High
377,18064,17878,98.97,17551,327,Sellout
378,18064,18064,100.0,18064,0,Sellout
379,18064,16580,91.78,16795,-215,High
380,18064,16233,89.86,16776,-543,High
381,18064,18064,100.0,18064,0,Sellout
382,18064,18064,100.0,17411,653,Sellout
383,18064,17963,99.44,18064,-101,Sellout
384,18064,18064,100.0,18064,0,Sellout
385,18064,16939,93.77,17066,-127,High
386,18064,18064,100.0,17617,447,Sellout
387,18064,17406,96.36,16881,525,Sellout
388,18064,18064,100.0,18064,0,Sellout
389,18064,18064,100.0,17635,429,Sellout
390,18064,18064,100.0,18064,0,Sellout
391,18064,16793,92.96,16656,137,High
392,18064,17161,95.0,17203,-42,Sellout
393,18064,18064,100.0,18045,19,Sellout
394,18064,18064,100.0,17907,157,Sellout
395,18064,15993,88.54,16909,-916,High
396,18064,16872,93.4,17700,-828,High
397,18064,17703,98.0,16592,1111,Sellout
398,18064,18064,100.0,18064,0,Sellout
399,18064,18064,100.0,17495,569,Sellout
400,18064,17025,94.25,17424,-399,High
401,18064,16326,90.38,16576,-250,High
402,18064,18064,100.0,17274,790,Sellout
403,18064,17395,96.3,16776,619,Sellout
404,18064,16843,93.24,17574,-731,High
405,18064,18064,100.0,17920,144,Sellout
406,18064,17148,94.93,17543,-395,High
407,18064,16824,93.14,16421,403,High
408,18064,17407,96.36,17274,133,Sellout
409,18064,16968,93.93,17003,-35,High
410,18064,18064,100.0,18064,0,Sellout
411,18055,15125,83.77,16243,-1118,Medium
412,18055,17226,95.41,17593,-367,Sellout
413,18055,17547,97.19,16957,590,Sellout
414,18055,18055,100.0,17780,275,Sellout
415,18055,15344,84.98,15857,-513,Medium
416,18055,16718,92.59,15829,889,High
417,18055,16328,90.43,15972,356,High
418,18055,17623,97.61,17082,541,Sellout
419,18055,16098,89.16,16751,-653,High
420,18055,17113,94.78,15711,1402,High
421,18055,17437,96.58,16990,447,Sellout
422,18055,18055,100.0,17801,254,Sellout
423,18055,18055,100.0,18055,0,Sellout
424,18055,16750,92.77,17967,-1217,High
425,18055,15162,83.98,15740,-578,Medium
426,18055,15733,87.14,14876,857,Medium
427,18055,15424,85.43,16135,-711,Medium
428,18055,18055,100.0,17543,512,Sellout
429,18055,14767,81.79,15184,-417,Medium
430,18055,17312,95.88,16926,386,Sellout
431,18055,15897,88.05,15622,275,High
432,18055,18047,99.96,18055,-8,Sellout
433,18055,16538,91.6,16652,-114,High
434,18055,16816,93.14,17422,-606,High
435,18055,17986,99.62,16465,1521,Sellout
436,18055,15842,87.74,15363,479,Medium
437,18055,15925,88.2,16993,-1068,High
438,18055,16313,90.35,17188,-875,High
439,18055,17099,94.71,16611,488,High
440,18055,15354,85.04,15258,96,Medium
441,18055,15637,86.61,16844,-1207,Medium
442,18055,18055,100.0,18001,54,Sellout
443,18055,15388,85.23,17298,-1910,Medium
444,18055,15856,87.82,16086,-230,Medium
445,18055,16126,89.32,16009,117,High
446,18055,15190,84.13,15579,-389,Medium
447,18055,17330,95.98,16610,720,Sellout
448,18055,16181,89.62,15708,473,High
449,18055,15239,84.4,15033,206,Medium
450,18055,15882,87.96,15830,52,Medium
451,18055,16199,89.72,15708,491,High
452,17923,17252,96.26,17299,-47,Sellout
453,17923,14940,83.36,15921,-981,Medium
454,17923,17752,99.05,16956,796,Sellout
455,17923,17468,97.46,16111,1357,Sellout
456,17923,16229,90.55,16065,164,High
457,17923,16071,89.67,15893,178,High
458,17923,17087,95.34,17010,77,Sellout
459,17923,15479,86.36,16321,-842,Medium
460,17923,16514,92.14,16800,-286,High
461,17923,17923,100.0,17443,480,Sellout
462,17923,15645,87.29,15359,286,Medium
463,17923,17923,100.0,17484,439,Sellout
464,17923,17524,97.77,16883,641,Sellout
465,17923,15468,86.3,15655,-187,Medium
466,17923,16665,92.98,16076,589,High
467,17923,16008,89.32,16043,-35,High
468,17923,15007,83.73,16081,-1074,Medium
469,17923,17829,99.48,16972,857,Sellout
470,17923,16939,94.51,16467,472,High
471,17923,17796,99.29,15580,2216,Sellout
472,17923,16806,93.77,17082,-276,High
473,17923,16239,90.6,15604,635,High
474,17923,16726,93.32,17148,-422,High
475,17923,15711,87.66,16224,-513,Medium
476,17923,17923,100.0,16786,1137,Sellout
477,17923,15245,85.06,16615,-1370,Medium
478,17923,17804,99.34,17724,80,Sellout
479,17923,17923,100.0,17485,438,Sellout
480,17923,14851,82.86,15854,-1003,Medium
481,17923,16346,91.2,16607,-261,High
482,17923,17496,97.62,16742,754,Sellout
483,17923,15384,85.83,16144,-760,Medium
484,17923,16282,90.84,15943,339,High
485,17923,16710,93.23,17174,-464,High
486,17923,17518,97.74,16456,1062,Sellout
487,17923,16990,94.79,15954,1036,High
488,17923,17207,96.01,17449,-242,Sellout
489,17923,13697,76.42,15654,-1957,Medium
490,17923,16532,92.24,16060,472,High
491,17923,17923,100.0,17474,449,Sellout
492,17923,16417,91.6,15939,478,High
493,19060,19060,100.0,18932,128,Sellout
494,19060,17127,89.86,16817,310,High
495,19060,16905,88.69,17057,-152,High
496,19060,17003,89.21,17479,-476,High
497,19060,19060,100.0,19060,0,Sellout
498,19060,18782,98.54,18861,-79,Sellout
499,19060,18875,99.03,18254,621,Sellout
500,19060,15617,81.94,16173,-556,Medium
501,19060,16933,88.84,17170,-237,High
502,19060,17062,89.52,16911,151,High
503,19060,15969,83.78,16464,-495,Medium
504,19060,15873,83.28,16852,-979,Medium
505,19060,17703,92.88,17131,572,High
506,19060,18062,94.76,18977,-915,High
507,19060,17621,92.45,17399,222,High
508,19060,19060,100.0,18923,137,Sellout
509,19060,18459,96.85,17297,1162,Sellout
510,19060,19060,100.0,18738,322,Sellout
511,19060,18620,97.69,17538,1082,Sellout
512,19060,17659,92.65,18121,-462,High
513,19060,16697,87.6,16847,-150,Medium
514,19060,17640,92.55,17333,307,High
515,19060,16869,88.5,16839,30,High
516,19060,18431,96.7,18238,193,Sellout
517,19060,18778,98.52,17752,1026,Sellout
518,19060,17104,89.74,16930,174,High
519,19060,16930,88.82,16158,772,High
520,19060,16542,86.79,17330,-788,Medium
521,19060,18103,94.98,17663,440,High
522,19060,16705,87.64,17908,-1203,Medium
523,19060,19060,100.0,19060,0,Sellout
524,19060,17440,91.5,17511,-71,High
525,19060,17985,94.36,18967,-982,High
526,19060,17335,90.95,17478,-143,High
527,19060,18086,94.89,17655,431,High
528,19060,16194,84.96,17070,-876,Medium
529,19060,16187,84.93,16789,-602,Medium
530,19060,15994,83.91,16227,-233,Medium
531,19060,19060,100.0,18702,358,Sellout
532,19060,16426,86.18,17892,-1466,Medium
533,19060,17759,93.17,17341,418,High
534,19060,17655,92.63,17780,-125,High
535,19060,19060,100.0,18463,597,Sellout
536,19060,19060,100.0,19060,0,Sellout
537,19060,19060,100.0,19060,0,Sellout
538,19060,18871,99.01,18489,382,Sellout
539,19060,17019,89.29,17875,-856,High
540,19060,19060,100.0,19060,0,Sellout
541,19060,19060,100.0,19060,0,Sellout
542,19060,18976,99.56,19060,-84,Sellout
543,19060,17381,91.19,17731,-350,High
544,19060,16700,87.62,18473,-1773,Medium
545,19060,19060,100.0,19060,0,Sellout
546,19060,19060,100.0,19060,0,Sellout
547,19060,18387,96.47,18767,-380,Sellout
548,19060,17505,91.84,18219,-714,High
549,19060,17193,90.2,17519,-326,High
550,19060,19060,100.0,19060,0,Sellout
551,19060,19060,100.0,19060,0,Sellout
552,19060,18716,98.2,18921,-205,Sellout
553,19060,16956,88.96,17841,-885,High
554,19060,17204,90.26,17418,-214,High
555,19060,18258,95.79,18849,-591,Sellout
556,19060,19060,100.0,19060,0,Sellout
557,19060,19060,100.0,19060,0,Sellout
558,19060,19060,100.0,19060,0,Sellout
559,19060,18656,97.88,17343,1313,Sellout
560,19060,19042,99.91,19060,-18,Sellout
561,19060,16478,86.45,17750,-1272,Medium
562,19060,18996,99.66,19060,-64,Sellout
563,19060,19014,99.76,19060,-46,Sellout
564,19060,19060,100.0,17915,1145,Sellout
565,19060,17240,90.45,17560,-320,High
566,19060,16026,84.08,17159,-1133,Medium
567,19060,19060,100.0,19060,0,Sellout
568,19060,18012,94.5,18137,-125,High
569,19060,16618,87.19,17507,-889,Medium
570,19060,19060,100.0,19060,0,Sellout
571,19060,19060,100.0,19060,0,Sellout
572,19060,19060,100.0,19060,0,Sellout
573,19060,17330,90.92,17534,-204,High
574,19060,17188,90.18,17469,-281,High
575,17794,15658,88.0,16102,-444,High
576,17794,15147,85.12,16059,-912,Medium
577,17794,17794,100.0,17116,678,Sellout
578,17794,16478,92.6,14743,1735,High
579,17794,16154,90.78,16884,-730,High
580,17794,15205,85.45,15634,-429,Medium
581,17794,15890,89.3,16659,-769,High
582,17794,17290,97.17,16656,634,Sellout
583,17794,13974,78.53,14697,-723,Medium
584,17794,16039,90.14,15542,497,High
585,17794,15203,85.44,14898,305,Medium
586,17794,16359,91.94,16468,-109,High
587,17794,16111,90.54,15144,967,High
588,17794,14382,80.82,14631,-249,Medium
589,17794,16806,94.45,16804,2,High
590,17794,15357,86.3,16223,-866,Medium
591,17794,14668,82.43,16405,-1737,Medium
592,17794,17698,99.46,16943,755,Sellout
593,17794,14542,81.72,14982,-440,Medium
594,17794,16513,92.8,15690,823,High
595,17794,16688,93.78,16939,-251,High
596,17794,15681,88.13,15759,-78,High
597,17794,15937,89.56,15790,147,High
598,17794,13976,78.54,14360,-384,Medium
599,17794,14302,80.38,15452,-1150,Medium
600,17794,15600,87.67,16220,-620,Medium
601,17794,15575,87.53,16251,-676,Medium
602,17794,15711,88.29,15735,-24,High
603,17794,17570,98.74,16775,795,Sellout
604,17794,13871,77.95,14387,-516,Medium
605,17794,16423,92.3,16494,-71,High
606,17794,17513,98.42,17343,170,Sellout
607,17794,15588,87.6,16154,-566,Medium
608,17794,17106,96.13,16831,275,Sellout
609,17794,17067,95.91,16283,784,Sellout
610,17794,16792,94.37,16512,280,High
611,17794,17271,97.06,17307,-36,Sellout
612,17794,17144,96.35,17743,-599,Sellout
613,17794,14836,83.38,14920,-84,Medium
614,17794,15291,85.93,15826,-535,Medium
615,17794,15521,87.23,15939,-418,Medium
616,19600,19227,98.1,19323,-96,Sellout
617,19600,18194,92.83,18357,-163,High
618,19600,19600,100.0,19309,291,Sellout
619,19600,18386,93.81,18846,-460,High
620,19600,19600,100.0,19600,0,Sellout
621,19600,17612,89.86,17976,-364,High
622,19600,18742,95.62,19457,-715,Sellout
623,19600,18901,96.43,18425,476,Sellout
624,19600,18061,92.15,17733,328,High
625,19600,19521,99.6,19600,-79,Sellout
626,19600,17541,89.49,19600,-2059,High
627,19600,18265,93.19,17386,879,High
628,19600,18504,94.41,17895,609,High
629,19600,19600,100.0,19558,42,Sellout
630,19600,19483,99.4,18537,946,Sellout
631,19600,19600,100.0,19600,0,Sellout
632,19600,18292,93.33,18619,-327,High
633,19600,15724,80.22,17129,-1405,Medium
634,19600,19226,98.09,19120,106,Sellout
635,19600,18130,92.5,18482,-352,High
636,19600,19328,98.61,19600,-272,Sellout
637,19600,17582,89.7,18648,-1066,High
638,19600,17483,89.2,18291,-808,High
639,19600,17885,91.25,18940,-1055,High
640,19600,19600,100.0,19600,0,Sellout
641,19600,19600,100.0,19600,0,Sellout
642,19600,17449,89.03,18031,-582,High
643,19600,18274,93.23,17314,960,High
644,19600,18616,94.98,18536,80,High
645,19600,19600,100.0,19072,528,Sellout
646,19600,19600,100.0,19600,0,Sellout
647,19600,19600,100.0,19144,456,Sellout
648,19600,16914,86.3,16722,192,Medium
649,19600,16968,86.57,17534,-566,Medium
650,19600,17990,91.79,19025,-1035,High
651,19600,19388,98.92,19227,161,Sellout
652,19600,17838,91.01,17913,-75,High
653,19600,19600,100.0,17884,1716,Sellout
