ticket_sale_id,game_id,segment_id,segment_name,tickets_available,tickets_sold,avg_ticket_price,discount_pct,gross_ticket_revenue,net_ticket_revenue,sell_through_rate
78,9,6,Student Promo,1569,1306,25.51,34.7,33316.06,29848.32,83.28
79,9,7,Group Sales,1962,1815,71.94,5.73,130571.1,128326.05,92.55
80,9,8,Season Ticket,1962,1745,141.53,3.46,246969.85,244404.8,88.95
81,9,9,Corporate Partner Allocation,981,981,317.54,0.85,311506.74,310713.55,100.0
82,10,1,Premium Courtside,588,529,464.65,0.54,245799.85,245401.02,89.97
83,10,2,Lower Bowl,2746,2545,185.1,6.72,471079.5,461580.29,92.68
84,10,3,Club Level,1569,1569,224.58,2.8,352366.02,349401.49,100.0
85,10,4,Upper Bowl,5886,5636,66.83,1.4,376653.88,375069.22,95.75
86,10,5,Family Pack,2354,2180,51.66,18.55,112618.8,106352.22,92.62
87,10,6,Student Promo,1569,1424,26.0,32.57,37024.0,33405.97,90.78
88,10,7,Group Sales,1962,1766,72.85,4.55,128653.1,126896.88,90.01
89,10,8,Season Ticket,1962,1680,137.09,10.85,230311.2,222814.45,85.66
90,10,9,Corporate Partner Allocation,981,915,314.08,4.28,287383.2,283690.2,93.34
91,11,1,Premium Courtside,588,565,468.13,1.4,264493.45,263385.88,96.22
92,11,2,Lower Bowl,2746,2730,192.13,1.73,524514.9,521787.15,99.44
93,11,3,Club Level,1569,1569,227.24,2.81,356539.56,353536.46,100.0
94,11,4,Upper Bowl,5886,5886,66.96,3.33,394126.56,390186.18,100.0
95,11,5,Family Pack,2354,2207,52.08,19.24,114940.56,108307.23,93.78
96,11,6,Student Promo,1569,1479,26.11,33.83,38616.69,34697.39,94.27
97,11,7,Group Sales,1962,1962,74.37,2.8,145913.94,144687.22,100.0
98,11,8,Season Ticket,1962,1962,138.25,11.47,271246.5,261910.83,100.0
99,11,9,Corporate Partner Allocation,981,981,322.56,1.35,316431.36,315148.64,100.0
100,12,1,Premium Courtside,588,588,462.2,4.58,271773.6,268037.69,100.0
101,12,2,Lower Bowl,2746,2746,185.71,9.01,509959.66,496170.7,100.0
102,12,3,Club Level,1569,1569,228.69,2.23,358814.61,356418.96,100.0
103,12,4,Upper Bowl,5886,5679,68.05,0.8,386455.95,385528.54,96.5
104,12,5,Family Pack,2354,2189,53.4,15.27,116892.6,111539.26,93.01
105,12,6,Student Promo,1569,1507,26.63,31.13,40131.41,36383.98,96.08
106,12,7,Group Sales,1962,1824,73.04,7.0,133224.96,130427.57,93.02
107,12,8,Season Ticket,1962,1916,138.34,11.99,265059.44,255523.66,97.69
108,12,9,Corporate Partner Allocation,981,981,318.22,4.69,312173.82,307776.92,100.0
109,13,1,Premium Courtside,588,588,474.99,1.31,279294.12,278197.02,100.0
110,13,2,Lower Bowl,2746,2746,189.27,7.42,519735.42,508167.07,100.0
111,13,3,Club Level,1569,1569,228.84,4.2,359049.96,354521.99,100.0
112,13,4,Upper Bowl,5886,5886,65.27,11.0,384179.22,371504.44,100.0
113,13,5,Family Pack,2354,2354,53.2,17.94,125232.8,118493.18,100.0
114,13,6,Student Promo,1569,1569,26.97,30.8,42315.93,38405.95,100.0
115,13,7,Group Sales,1962,1907,75.17,3.46,143349.19,141859.33,97.21
116,13,8,Season Ticket,1962,1962,145.73,4.06,285922.26,282443.59,100.0
117,13,9,Corporate Partner Allocation,981,981,321.21,4.96,315107.01,310422.83,100.0
118,14,1,Premium Courtside,588,580,462.44,2.18,268215.2,266462.85,98.71
119,14,2,Lower Bowl,2746,2746,185.75,6.72,510069.5,499783.0,100.0
120,14,3,Club Level,1569,1569,224.56,3.51,352334.64,348623.45,100.0
121,14,4,Upper Bowl,5886,5479,64.92,7.75,355696.68,347430.43,93.1
122,14,5,Family Pack,2354,2061,52.14,17.51,107460.54,101816.71,87.56
123,14,6,Student Promo,1569,1389,25.63,35.52,35600.07,31806.94,88.54
124,14,7,Group Sales,1962,1962,74.09,1.92,145364.58,144526.59,100.0
125,14,8,Season Ticket,1962,1833,140.69,6.55,257884.77,252814.12,93.43
126,14,9,Corporate Partner Allocation,981,930,321.81,0.16,299283.3,299135.47,94.86
127,15,1,Premium Courtside,588,528,462.9,1.28,244411.2,243474.72,89.87
128,15,2,Lower Bowl,2746,2484,186.19,5.58,462495.96,454758.14,90.47
129,15,3,Club Level,1569,1569,225.39,2.08,353636.91,351428.15,100.0
130,15,4,Upper Bowl,5886,5115,65.97,3.92,337436.55,333470.12,86.9
131,15,5,Family Pack,2354,2129,51.86,17.85,110409.94,104497.66,90.46
132,15,6,Student Promo,1569,1505,26.4,30.01,39732.0,36155.52,95.94
133,15,7,Group Sales,1962,1848,73.44,2.96,135717.12,134513.92,94.2
134,15,8,Season Ticket,1962,1917,142.0,4.05,272214.0,268907.13,97.75
135,15,9,Corporate Partner Allocation,981,981,317.75,1.99,311712.75,309854.86,100.0
136,16,1,Premium Courtside,588,564,464.6,0.67,262034.4,261505.97,96.02
137,16,2,Lower Bowl,2746,2433,183.89,8.09,447404.37,436547.04,88.64
138,16,3,Club Level,1569,1564,224.77,2.75,351540.28,348639.06,99.73
139,16,4,Upper Bowl,5886,5177,66.91,1.27,346393.07,345072.98,87.97
140,16,5,Family Pack,2354,2354,49.92,24.77,117511.68,108780.58,100.0
141,16,6,Student Promo,1569,1452,25.01,39.04,36314.52,32061.6,92.57
142,16,7,Group Sales,1962,1962,74.09,1.33,145364.58,144783.3,100.0
143,16,8,Season Ticket,1962,1962,138.75,8.66,272227.5,265157.05,100.0
144,16,9,Corporate Partner Allocation,981,899,315.29,3.64,283445.71,280351.34,91.73
145,17,1,Premium Courtside,588,528,455.8,0.7,240662.4,240157.9,89.83
146,17,2,Lower Bowl,2746,2237,180.05,8.5,402771.85,392500.53,81.47
147,17,3,Club Level,1569,1363,218.3,4.76,297542.9,293294.13,86.9
148,17,4,Upper Bowl,5886,5343,63.87,6.65,341257.41,334451.6,90.78
149,17,5,Family Pack,2354,2063,50.43,19.59,104037.09,97921.35,87.67
150,17,6,Student Promo,1569,1298,24.69,38.09,32047.62,28385.49,82.79
151,17,7,Group Sales,1962,1664,69.36,10.46,115415.04,111794.69,84.84
152,17,8,Season Ticket,1962,1544,136.17,8.62,210246.48,204812.62,78.7
153,17,9,Corporate Partner Allocation,981,933,310.27,3.07,289481.91,286818.83,95.12
154,18,1,Premium Courtside,588,588,476.36,0.74,280099.68,279477.94,100.0
155,18,2,Lower Bowl,2746,2746,195.05,1.54,535607.3,533136.74,100.0
156,18,3,Club Level,1569,1569,230.82,2.51,362156.58,359434.3,100.0
157,18,4,Upper Bowl,5886,5886,68.08,2.84,400718.88,397304.71,100.0
158,18,5,Family Pack,2354,2289,52.73,19.53,120698.97,113628.52,97.26
159,18,6,Student Promo,1569,1569,25.98,37.01,40762.62,36236.88,100.0
160,18,7,Group Sales,1962,1962,75.5,2.62,148131.0,146964.82,100.0
161,18,8,Season Ticket,1962,1922,144.42,5.82,277575.24,272731.61,98.0
162,18,9,Corporate Partner Allocation,981,981,328.85,0.32,322601.85,322293.37,100.0
163,19,1,Premium Courtside,588,588,471.65,2.71,277330.2,275078.08,100.0
164,19,2,Lower Bowl,2746,2714,188.36,8.34,511209.04,498414.03,98.87
165,19,3,Club Level,1569,1569,230.45,2.82,361576.05,358515.25,100.0
166,19,4,Upper Bowl,5886,5886,67.58,4.3,397775.88,392646.38,100.0
167,19,5,Family Pack,2354,2354,53.1,18.28,124997.4,118143.88,100.0
168,19,6,Student Promo,1569,1536,26.88,31.34,41287.68,37405.64,97.92
169,19,7,Group Sales,1962,1917,72.51,10.44,139001.67,134649.65,97.72
170,19,8,Season Ticket,1962,1962,144.01,6.37,282547.62,277148.77,100.0
171,19,9,Corporate Partner Allocation,981,981,325.48,2.37,319295.88,317030.45,100.0
172,20,1,Premium Courtside,588,543,457.69,1.73,248525.67,247238.05,92.45
173,20,2,Lower Bowl,2746,2355,187.11,2.84,440644.05,436892.44,85.8
174,20,3,Club Level,1569,1515,221.74,3.51,335936.1,332395.77,96.58
175,20,4,Upper Bowl,5886,5035,66.14,1.64,333014.9,331375.47,85.55
176,20,5,Family Pack,2354,2212,52.09,15.37,115223.08,109910.45,94.0
177,20,6,Student Promo,1569,1419,25.41,34.86,36056.79,32286.27,90.48
178,20,7,Group Sales,1962,1820,70.34,9.55,128018.8,124349.23,92.79
179,20,8,Season Ticket,1962,1891,141.27,3.29,267141.57,264508.41,96.4
180,20,9,Corporate Partner Allocation,981,847,313.52,2.85,265551.44,263283.64,86.38
181,21,1,Premium Courtside,588,508,450.79,2.22,229001.32,227475.87,86.45
182,21,2,Lower Bowl,2746,2462,183.35,4.33,451407.7,445541.11,89.66
183,21,3,Club Level,1569,1397,222.1,0.68,310273.7,309642.45,89.08
184,21,4,Upper Bowl,5886,5232,63.91,5.88,334377.12,328480.36,88.89
185,21,5,Family Pack,2354,1916,50.93,17.19,97581.88,92550.82,81.43
186,21,6,Student Promo,1569,1255,24.98,35.62,31349.9,27999.44,80.05
187,21,7,Group Sales,1962,1566,71.37,4.3,111765.42,110322.44,79.82
188,21,8,Season Ticket,1962,1522,139.27,3.6,211968.94,209677.97,77.6
189,21,9,Corporate Partner Allocation,981,847,307.92,3.89,260808.24,257763.94,86.43
190,22,1,Premium Courtside,588,588,476.71,0.59,280305.48,279809.06,100.0
191,22,2,Lower Bowl,2746,2746,191.34,5.31,525419.64,517047.37,100.0
192,22,3,Club Level,1569,1569,233.14,0.52,365796.66,365225.61,100.0
193,22,4,Upper Bowl,5886,5886,68.34,2.1,402249.24,399720.09,100.0
194,22,5,Family Pack,2354,2354,52.86,19.1,124432.44,117303.36,100.0
195,22,6,Student Promo,1569,1536,25.85,37.8,39705.6,35203.4,97.92
196,22,7,Group Sales,1962,1962,75.19,3.41,147522.78,146011.56,100.0
197,22,8,Season Ticket,1962,1962,146.38,3.19,287197.56,284450.59,100.0
198,22,9,Corporate Partner Allocation,981,981,329.01,0.22,322758.81,322541.98,100.0
199,23,1,Premium Courtside,588,557,450.26,4.03,250794.82,247763.55,94.88
200,23,2,Lower Bowl,2746,2281,180.17,9.25,410967.77,399560.75,83.07
201,23,3,Club Level,1569,1430,219.1,4.95,313313.0,308664.91,91.19
202,23,4,Upper Bowl,5886,5042,65.09,3.86,328183.78,324379.93,85.66
203,23,5,Family Pack,2354,2210,51.02,18.3,112754.2,106564.59,93.92
204,23,6,Student Promo,1569,1443,25.4,34.16,36652.2,32896.27,91.98
205,23,7,Group Sales,1962,1716,69.19,11.79,118730.04,114531.49,87.51
206,23,8,Season Ticket,1962,1732,136.56,8.96,236521.92,230164.32,88.28
207,23,9,Corporate Partner Allocation,981,981,310.81,3.63,304904.61,301581.73,100.0
208,24,1,Premium Courtside,588,588,472.28,0.58,277700.64,277219.0,100.0
209,24,2,Lower Bowl,2746,2641,185.59,9.38,490143.19,476345.0,96.21
210,24,3,Club Level,1569,1569,229.05,2.17,359379.45,357041.2,100.0
211,24,4,Upper Bowl,5886,5886,68.37,0.13,402425.82,402264.92,100.0
212,24,5,Family Pack,2354,2231,53.43,15.39,119202.33,113697.51,94.81
213,24,6,Student Promo,1569,1482,26.75,30.58,39643.5,36006.95,94.52
214,24,7,Group Sales,1962,1828,72.73,8.05,132950.44,129740.51,93.22
215,24,8,Season Ticket,1962,1959,142.56,6.51,279275.04,273824.15,99.86
216,24,9,Corporate Partner Allocation,981,981,323.02,2.01,316882.62,314976.33,100.0
217,25,1,Premium Courtside,588,569,462.74,3.21,263299.06,260762.42,96.86
218,25,2,Lower Bowl,2746,2521,183.12,10.57,461645.52,447000.92,91.83
219,25,3,Club Level,1569,1552,228.42,1.31,354507.84,353119.77,98.92
220,25,4,Upper Bowl,5886,5464,67.49,1.29,368765.36,367339.69,92.84
221,25,5,Family Pack,2354,2205,51.74,19.99,114086.7,107245.5,93.71
222,25,6,Student Promo,1569,1413,25.88,34.93,36568.44,32736.42,90.08
223,25,7,Group Sales,1962,1871,71.73,9.34,134206.83,130446.64,95.36
224,25,8,Season Ticket,1962,1952,146.05,0.36,285089.6,284782.56,99.54
225,25,9,Corporate Partner Allocation,981,937,318.65,3.29,298575.05,295627.94,95.53
226,26,1,Premium Courtside,588,585,456.57,3.19,267093.45,264539.35,99.56
227,26,2,Lower Bowl,2746,2588,181.18,10.03,468893.84,454791.3,94.26
228,26,3,Club Level,1569,1481,225.02,1.59,333254.62,331662.12,94.4
229,26,4,Upper Bowl,5886,5704,65.68,4.0,374638.72,370141.02,96.91
230,26,5,Family Pack,2354,2333,51.43,18.6,119986.19,113289.87,99.12
231,26,6,Student Promo,1569,1490,24.89,39.07,37086.1,32738.87,95.01
232,26,7,Group Sales,1962,1884,74.04,0.51,139491.36,139275.92,96.05
233,26,8,Season Ticket,1962,1787,141.07,4.54,252092.09,248662.38,91.11
234,26,9,Corporate Partner Allocation,981,933,317.37,1.41,296106.21,294855.63,95.12
235,27,1,Premium Courtside,588,514,453.48,2.71,233088.72,231190.44,87.53
236,27,2,Lower Bowl,2746,2518,186.91,2.21,470639.38,467518.99,91.71
237,27,3,Club Level,1569,1387,221.02,3.32,306554.74,303497.92,88.45
238,27,4,Upper Bowl,5886,5327,66.06,1.03,351901.62,350810.44,90.51
239,27,5,Family Pack,2354,1908,51.28,17.49,97842.24,92709.4,81.06
240,27,6,Student Promo,1569,1462,25.71,32.22,37588.02,33954.82,93.21
241,27,7,Group Sales,1962,1879,69.15,11.99,129932.85,125259.84,95.8
242,27,8,Season Ticket,1962,1755,134.78,11.53,236538.9,228359.01,89.47
243,27,9,Corporate Partner Allocation,981,886,312.72,2.51,277069.92,274984.87,90.41
244,28,1,Premium Courtside,588,588,477.28,0.35,280640.64,280343.13,100.0
245,28,2,Lower Bowl,2746,2746,185.52,11.24,509437.92,492259.46,100.0
246,28,3,Club Level,1569,1569,232.47,1.1,364745.43,363547.03,100.0
247,28,4,Upper Bowl,5886,5832,68.16,2.61,397509.12,394392.91,99.08
248,28,5,Family Pack,2354,2354,52.8,19.3,124291.2,117094.43,100.0
249,28,6,Student Promo,1569,1556,25.55,39.7,39755.8,35020.79,99.19
250,28,7,Group Sales,1962,1962,73.14,8.79,143500.68,139716.85,100.0
251,28,8,Season Ticket,1962,1962,148.35,0.54,291062.7,290592.29,100.0
252,28,9,Corporate Partner Allocation,981,981,326.22,1.91,320021.82,318185.26,100.0
253,29,1,Premium Courtside,588,499,449.17,4.16,224135.83,221338.61,84.9
254,29,2,Lower Bowl,2746,2312,181.76,7.23,420229.12,411115.66,84.21
255,29,3,Club Level,1569,1340,223.54,0.64,299543.6,298968.88,85.45
256,29,4,Upper Bowl,5886,5063,66.09,0.52,334613.67,334095.73,86.02
257,29,5,Family Pack,2354,2088,51.75,15.39,108054.0,103063.86,88.71
258,29,6,Student Promo,1569,1557,23.91,43.61,37227.87,32357.85,99.24
259,29,7,Group Sales,1962,1649,70.01,9.23,115446.49,112249.8,84.06
260,29,8,Season Ticket,1962,1696,141.05,2.32,239220.8,237553.86,86.47
261,29,9,Corporate Partner Allocation,981,876,312.95,1.93,274144.2,272556.29,89.33
262,30,1,Premium Courtside,588,516,447.49,3.23,230904.84,228665.37,87.92
263,30,2,Lower Bowl,2746,2201,183.46,3.77,403795.46,399227.79,80.17
264,30,3,Club Level,1569,1449,221.36,0.9,320750.64,319883.14,92.37
265,30,4,Upper Bowl,5886,5046,61.8,11.86,311842.8,300749.7,85.73
266,30,5,Family Pack,2354,2066,51.05,16.33,105469.3,100300.83,87.78
267,30,6,Student Promo,1569,1189,25.34,32.89,30129.26,27156.45,75.8
268,30,7,Group Sales,1962,1477,70.22,7.03,103714.94,101528.99,75.32
269,30,8,Season Ticket,1962,1620,136.4,7.21,220968.0,216186.25,82.61
270,30,9,Corporate Partner Allocation,981,905,311.52,1.16,281925.6,280946.21,92.32
271,31,1,Premium Courtside,588,481,446.21,2.31,214627.01,213142.37,81.93
272,31,2,Lower Bowl,2746,2317,180.51,5.46,418241.67,411386.81,84.38
273,31,3,Club Level,1569,1243,215.75,4.48,268177.25,264573.42,79.22
274,31,4,Upper Bowl,5886,4301,62.7,7.67,269672.7,263465.41,73.08
275,31,5,Family Pack,2354,1811,50.36,17.44,91201.96,86430.61,76.96
276,31,6,Student Promo,1569,1373,24.69,35.94,33899.37,30244.25,87.54
277,31,7,Group Sales,1962,1625,69.4,7.82,112775.0,110129.41,82.83
278,31,8,Season Ticket,1962,1639,136.7,5.33,224051.3,220469.89,83.57
279,31,9,Corporate Partner Allocation,981,745,304.06,4.45,226524.7,223501.21,75.97
280,32,1,Premium Courtside,588,588,460.0,4.57,270480.0,266774.52,100.0
281,32,2,Lower Bowl,2746,2746,184.78,9.04,507405.88,493647.77,100.0
282,32,3,Club Level,1569,1569,224.61,4.81,352413.09,347329.78,100.0
283,32,4,Upper Bowl,5886,5886,66.22,5.23,389770.92,383660.44,100.0
284,32,5,Family Pack,2354,2224,52.65,16.98,117093.6,111130.18,94.49
285,32,6,Student Promo,1569,1459,26.3,32.38,38371.7,34644.06,93.02
286,32,7,Group Sales,1962,1818,75.06,0.68,136459.08,136178.85,92.71
287,32,8,Season Ticket,1962,1891,139.78,9.11,264323.98,257098.6,96.4
288,32,9,Corporate Partner Allocation,981,939,319.09,3.21,299625.51,296741.02,95.78
289,33,1,Premium Courtside,588,588,458.83,2.27,269792.04,267953.5,100.0
290,33,2,Lower Bowl,2746,2425,183.67,7.47,445399.75,435423.14,88.33
291,33,3,Club Level,1569,1562,225.23,1.47,351809.26,350261.57,99.59
292,33,4,Upper Bowl,5886,5314,63.26,11.27,336163.64,324794.64,90.29
293,33,5,Family Pack,2354,2173,51.07,19.93,110975.11,104338.48,92.33
294,33,6,Student Promo,1569,1444,26.05,31.64,37616.2,34045.81,92.05
295,33,7,Group Sales,1962,1897,70.43,10.31,133605.71,129475.11,96.69
296,33,8,Season Ticket,1962,1655,142.36,2.8,235605.8,233624.67,84.39
297,33,9,Corporate Partner Allocation,981,938,312.35,4.6,292984.3,288939.75,95.67
298,34,1,Premium Courtside,588,588,470.31,3.27,276542.28,273830.72,100.0
299,34,2,Lower Bowl,2746,2746,194.86,1.74,535085.56,532299.86,100.0
300,34,3,Club Level,1569,1569,229.18,3.91,359583.42,355363.26,100.0
301,34,4,Upper Bowl,5886,5886,68.54,1.5,403426.44,401605.59,100.0
302,34,5,Family Pack,2354,2354,52.71,19.6,124079.34,116783.93,100.0
303,34,6,Student Promo,1569,1569,26.41,34.26,41437.29,37178.28,100.0
304,34,7,Group Sales,1962,1962,73.63,7.52,144462.06,141205.03,100.0
305,34,8,Season Ticket,1962,1914,143.91,6.51,275443.74,270064.24,97.6
306,34,9,Corporate Partner Allocation,981,981,328.35,0.63,322111.35,321507.37,100.0
307,35,1,Premium Courtside,588,588,463.56,2.68,272573.28,270384.16,100.0
308,35,2,Lower Bowl,2746,2746,186.73,6.65,512760.58,502525.36,100.0
309,35,3,Club Level,1569,1551,227.55,1.87,352930.05,350946.76,98.91
310,35,4,Upper Bowl,5886,5886,66.03,5.41,388652.58,382340.91,100.0
311,35,5,Family Pack,2354,2292,52.03,18.79,119252.76,112529.57,97.41
312,35,6,Student Promo,1569,1569,23.62,49.2,37059.78,31589.47,100.0
313,35,7,Group Sales,1962,1962,73.83,3.58,144854.46,143300.56,100.0
314,35,8,Season Ticket,1962,1798,142.15,5.51,255585.7,251361.04,91.66
315,35,9,Corporate Partner Allocation,981,935,316.27,4.57,295712.45,291658.13,95.32
316,36,1,Premium Courtside,588,588,466.23,2.61,274143.24,272000.21,100.0
317,36,2,Lower Bowl,2746,2533,190.76,3.55,483195.08,478046.82,92.26
318,36,3,Club Level,1569,1569,228.69,1.95,358814.61,356711.9,100.0
319,36,4,Upper Bowl,5886,5886,64.22,11.78,377998.92,364643.48,100.0
320,36,5,Family Pack,2354,2166,52.01,19.83,112653.66,105952.68,92.04
321,36,6,Student Promo,1569,1569,25.42,38.56,39883.98,35270.04,100.0
322,36,7,Group Sales,1962,1935,73.81,4.7,142822.35,140809.01,98.63
323,36,8,Season Ticket,1962,1948,141.2,7.84,275057.6,268585.82,99.32
324,36,9,Corporate Partner Allocation,981,981,322.17,2.0,316048.77,314151.58,100.0
325,37,1,Premium Courtside,588,579,457.55,0.37,264921.45,264629.28,98.63
326,37,2,Lower Bowl,2746,2246,187.98,0.5,422203.08,421573.22,81.82
327,37,3,Club Level,1569,1450,221.19,2.6,320725.5,318225.44,92.48
328,37,4,Upper Bowl,5886,4686,64.38,5.54,301684.68,296667.88,79.63
329,37,5,Family Pack,2354,1923,50.92,18.23,97919.16,92563.85,81.71
330,37,6,Student Promo,1569,1435,25.81,31.07,37037.35,33585.0,91.52
331,37,7,Group Sales,1962,1778,71.4,5.29,126949.2,124934.12,90.66
332,37,8,Season Ticket,1962,1702,138.77,5.39,236186.54,232365.33,86.79
333,37,9,Corporate Partner Allocation,981,927,310.16,3.56,287518.32,284446.94,94.55
334,38,1,Premium Courtside,588,588,473.32,1.13,278312.16,277367.69,100.0
335,38,2,Lower Bowl,2746,2746,186.13,9.77,511112.98,496132.72,100.0
336,38,3,Club Level,1569,1569,227.37,4.59,356743.53,351830.83,100.0
337,38,4,Upper Bowl,5886,5864,66.49,6.6,389897.36,382172.2,99.63
338,38,5,Family Pack,2354,2354,53.57,15.84,126103.78,120110.03,100.0
